UTC Time,Latitude,Longitude,GForce,satCount
135740,51.46907,5.384187,0.55,22
135740,51.46907,5.384187,0.58,22
135740,51.46907,5.384187,0.63,22
135740,51.46907,5.384187,0.6,22
135741,51.468945,5.38401,0.72,22
135741,51.468945,5.38401,0.67,22
135741,51.468945,5.38401,0.73,22
135741,51.468945,5.38401,0.76,22
135741,51.468945,5.38401,0.72,22
135741,51.468945,5.38401,0.7,22
135741,51.468945,5.38401,0.63,22
135741,51.468945,5.38401,0.75,22
135741,51.468945,5.38401,0.7,22
135741,51.468945,5.38401,0.56,22
135742,51.468794,5.383886,0.55,22
135742,51.468794,5.383886,0.38,22
135742,51.468794,5.383886,0.3,22
135742,51.468794,5.383886,0.34,22
135742,51.468794,5.383886,0.36,22
135742,51.468794,5.383886,0.38,22
135742,51.468794,5.383886,0.48,22
135742,51.468794,5.383886,0.44,22
135742,51.468794,5.383886,0.55,22
135742,51.468794,5.383886,0.53,22
135743,51.468615,5.383832,0.52,22
135743,51.468615,5.383832,0.5,22
135743,51.468615,5.383832,0.53,22
135743,51.468615,5.383832,0.56,22
135743,51.468615,5.383832,0.57,22
135743,51.468615,5.383832,0.51,22
135743,51.468615,5.383832,0.56,22
135743,51.468615,5.383832,0.51,22
135743,51.468615,5.383832,0.39,22
135743,51.468615,5.383832,0.39,22
135744,51.468451,5.38375,0.3,22
135744,51.468451,5.38375,0.29,22
135744,51.468451,5.38375,0.25,22
135744,51.468451,5.38375,0.31,22
135744,51.468451,5.38375,0.39,22
135744,51.468451,5.38375,0.57,22
135744,51.468451,5.38375,0.45,22
135744,51.468451,5.38375,0.54,22
135744,51.468451,5.38375,0.58,22
135744,51.468451,5.38375,0.48,22
135745,51.468315,5.38362,0.58,22
135745,51.468315,5.38362,0.45,22
135745,51.468315,5.38362,0.41,22
135745,51.468315,5.38362,0.51,22
135745,51.468315,5.38362,0.44,22
135745,51.468315,5.38362,0.47,22
135745,51.468315,5.38362,0.56,22
135745,51.468315,5.38362,0.47,22
135745,51.468315,5.38362,0.39,22
135745,51.468315,5.38362,0.4,22
135746,51.468219,5.383425,0.43,21
135746,51.468219,5.383425,0.32,21
135746,51.468219,5.383425,0.21,21
135746,51.468219,5.383425,0.27,21
